Center,Center.Name,Mall.Code,City,State,Intersecting.Streets,MSA,Center.Classification,Design.Type,Year.Opened,GLA.sqft,Stores,OD.Company,DistBetween
Atlantic City,Tanger Outlets The Walk,NJ0084,Atlantic City,NJ,"Atlantic, Artic & Michigan Aves.","atlantic city, nj",Value-Retail Center,Open,2004,489706,100,"Tanger Factory Outlet Centers, Inc.",0.07429747671529327
Atlantic City,The Playground,NJ0086,Atlantic City,NJ,Boardwalk & Atlantic Ocean,"atlantic city, nj",Entertainment Center,Enclosed,2006,500000,60,"Pier Renaissance, LP",0.4292035378383708
Atlantic City,The Quarter,NJ0087,Atlantic City,NJ,"The Tropicana Casino, Boardwalk & Brighton Aves.","atlantic city, nj",Entertainment Center,Enclosed,2004,200000,55,The Quarter-The Tropicana,0.7859634953235797
Atlantic City,Harbor Square,NJ0180,Egg Harbor Township,NJ,"Black Horse Pike, Tilton Rd. & Garden State Pkwy","atlantic city, nj",Regional Center,Enclosed,1965,337423,76,Aetna Realty,7.519248353504212
Atlantic City,Wrangleboro Consumer Square,NJ0042,Mays Landing,NJ,Atlantic City Expwy. & S Wrangleboro Rd.,unspecified,Regional Center,Open,1997,841687,57,DDR Corp.,12.231678693680674
Atlantic City,Hamilton Mall,NJ0315,Mays Landing,NJ,Black Horse Pike & Wrangle Boro Rd.,"atlantic city, nj",Super-Regional Center,Enclosed,1987,1100000,139,Kravco Company LLC,12.850196133014968
Atlantic City,Stafford Park,NJ8938,Manahawkin,NJ,Rte. 72 & Garden State Pkwy.,"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Open,2008,650000,14,Walters Group,25.406330945509495
Atlantic City,The Commons at Manahawkin Village,NJ9080,Manahawkin,NJ,Rte. 72 W. & Garden State Pkwy. (Exit 63),"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1993,321000,31,Hampshire Real Estate Companies,25.44751467978132
Atlantic City,Cumberland Mall,NJ0500,Vineland,NJ,Rts. 47 & 55,"vineland-millville-bridgeton, nj",Regional Center,Enclosed,1973,943900,76,PREIT,32.53912220108236
Atlantic City,Union Lake Crossing,NJ9288,Millville,NJ,Rte. 47 (Delsea Drive) & Rte. 55,"vineland-millville-bridgeton, nj",Power Center,Open,2007,530000,38,Goodman Properties,32.805271353323306
Atlantic City,Sunrise Plaza,NJ9312,Forked River,NJ,Rte. 9 & Railroad Ave.,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,2007,260895,11,Blackstone Group,36.15740664190632
Atlantic City,Town Square Plaza,NJ9310,Sicklerville,NJ,Berlin Cross Keys Rd. & Erial Williamstown Rd.,"philadelphia-camden-wilmington, pa-nj-de-md",Power Center,Open,NA,350000,14,NA,40.05581473358052
Atlantic City,The Shoppes at Cross Keys,NJ8942,Sicklerville,NJ,Berlin-Cross Keys Rd. & Atlantic City Expwy.(41),"new york-northern new jersey-long island, ny-nj-pa",Lifestyle/Specialty Center,Open,2009,215118,31,c/o Katz & Associates,40.18335512300153
Atlantic City,Crossroads Center,NJ9015,Toms River,NJ,Rte. 37 & Rte. 166,"new york-northern new jersey-long island, ny-nj-pa",Power Center,Open,1959,235000,10,Dan-D Inc.,43.51515933112275
Atlantic City,Gloucester Premium Outlets,NJ9335,Gloucester Township,NJ,Black Horse Pike & Route 42,"philadelphia-camden-wilmington, pa-nj-de-md",Value-Retail Center,Open,2015,376779,90,Premium Outlets | Simon,44.088353096796936
Atlantic City,The Promenade at Sagemore,NJ0082,Marlton,NJ,Route 73 & 70,"philadelphia-camden-wilmington, pa-nj-de-md",Lifestyle/Specialty Center,Open,2001,272000,52,Davis Enterprises,44.10221479867805
